,age,female,male
0,0.0,0.1,0.1
1,1.0,0.1,0.1
2,2.0,0.1,0.1
3,3.0,0.1,0.1
4,4.0,0.1,0.1
5,5.0,0.1,0.1
6,6.0,0.1,0.1
7,7.0,0.1,0.1
8,8.0,0.1,0.1
9,9.0,0.1,0.1
10,10.0,0.1,0.1
11,11.0,0.1,0.1
12,12.0,0.1,0.1
13,13.0,0.1,0.1
14,14.0,0.1,0.1
15,15.0,0.1,0.1
16,16.0,0.1,0.1
17,17.0,0.1,0.1
18,18.0,0.1,0.1
19,19.0,0.1,0.1
20,20.0,0.18240953388191758,0.24519117229416887
21,21.0,0.1857146448607843,0.25285610982152257
22,22.0,0.18612894858028295,0.2696836578466872
23,23.0,0.18365244504041364,0.2956738163696627
24,24.0,0.17828513424117606,0.33082658539044896
25,25.0,0.17480722476070948,0.40461926303854295
26,26.0,0.16295536745380895,0.4762295116870263
27,27.0,0.13746765873735955,0.4904796139783171
28,28.0,0.11723756371992478,0.4862169854953492
29,29.0,0.1378643893248406,0.4887005195592191
30,30.0,0.1561525914483784,0.49534681097738087
31,31.0,0.17123565951867886,0.46409010854128113
32,32.0,0.19012497079146212,0.47574340310725827
33,33.0,0.20488154132391617,0.4978107659073622
34,34.0,0.20634206718765874,0.5075133638607108
35,35.0,0.20637235089974154,0.49245781724816384
36,36.0,0.22536564166597697,0.5008582606872927
37,37.0,0.2440655576678099,0.5001932266218339
38,38.0,0.2497972794119792,0.4669292042226224
39,39.0,0.2653193090134164,0.42514558087104026
40,40.0,0.28840200221464213,0.420967633890737
41,41.0,0.30612613134004796,0.4044899656200136
42,42.0,0.33550418572747015,0.4036861766130132
43,43.0,0.3743993522027139,0.42371822590154995
44,44.0,0.4090494746077771,0.4434109535483104
45,45.0,0.4127041833641199,0.44317380554957375
46,46.0,0.39955388788926594,0.44084644261995776
47,47.0,0.40682955209350935,0.45015352596485136
48,48.0,0.41543930363826204,0.44804199364096153
49,49.0,0.41141465887544515,0.4194932415396357
50,50.0,0.42972871964498793,0.41565385215536693
51,51.0,0.45282034055006354,0.41121175413812205
52,52.0,0.4467134524858103,0.3980473989365256
53,53.0,0.42741938964404214,0.3922247332216694
54,54.0,0.4150369107496201,0.414021785736298
55,55.0,0.4138310176539967,0.4354287477063309
56,56.0,0.41031615691666806,0.4502810584530187
57,57.0,0.4033632026498317,0.45084300774294916
58,58.0,0.40896659119818213,0.4501603566162622
59,59.0,0.41912547752669904,0.4398923992488364
60,60.0,0.4063949344131813,0.41710820030136164
61,61.0,0.39715327757280483,0.40476753684488687
62,62.0,0.3892113875916673,0.391950426648986
63,63.0,0.38689778711331446,0.3833239541217778
64,64.0,0.3765062445885593,0.3669821561022951
65,65.0,0.36425629242858537,0.3464515815652095
66,66.0,0.35624692749341713,0.3258389686877854
67,67.0,0.34554573867466415,0.31200098764394946
68,68.0,0.3215291575186424,0.29416786720775867
69,69.0,0.289675276840034,0.27765676148587104
70,70.0,0.26219247823253866,0.2655053463460393
71,71.0,0.23752023621767326,0.2539859000925391
72,72.0,0.20617572977351467,0.23492410514219253
73,73.0,0.1790286412458985,0.21576499200067278
74,74.0,0.1662177456997489,0.20502142314782887
75,75.0,0.1489207251674945,0.19137440071608203
76,76.0,0.1285122670165994,0.1722029607300752
77,77.0,0.11272498270059464,0.15770284543880173
78,78.0,0.09632713919667094,0.13884767459669572
79,79.0,0.07700106492571143,0.11319181554717908
80,80.0,0.058599569209010244,0.08923783133264437
81,81.0,0.04627251749279254,0.073067065529996
82,82.0,0.03927953520546455,0.06478440125086762
83,83.0,0.029236329045152158,0.05262334281721426
84,84.0,0.02230637885221793,0.04525933753427881
85,85.0,0.020935140751456124,0.04769297435068759
86,86.0,0.016274777595146468,0.04118033176483739
87,87.0,0.0121558644589079,0.03741919984239589
88,88.0,0.009929074427348979,0.04019407147393133
89,89.0,0.009756873241341571,0.04480973559234902
90,90.0,0.008259783697413633,0.04768397010620587
91,91.0,0.007333863945946444,0.051668186006980074
92,92.0,0.008313075418938401,0.06481184603364845
93,93.0,0.009248348199870127,0.07107835259467557
94,94.0,0.008997498398912967,0.06666180559780951
95,95.0,0.009122242945753062,0.06758602879431998
96,96.0,0.00841394071077302,0.06233826949508654
97,97.0,0.006589799194825264,0.04882333881905618
98,98.0,0.004506332956672563,0.03338709029978837
99,99.0,0.0031451343212634416,0.023302069465040647
100,100.0,0.0027806546520312437,0.020601666333249467
101,101.0,0.0028560126932785073,0.021159988532724824
102,102.0,0.0033643870547459894,0.024926496883440414
103,103.0,0.004305777736433692,0.03190119138539629
104,104.0,0.005680184738341615,0.04208407203859244
